Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-01-02,99.550003,101.750000,98.940002,101.120003,99.099190,35329300,MSFT
2019-01-03,100.099998,100.190002,97.199997,97.400002,95.453529,42579100,MSFT
2019-01-04,99.720001,102.510002,98.930000,101.930000,99.893005,44060600,MSFT
2019-01-07,101.639999,103.269997,100.980003,102.059998,100.020401,35656100,MSFT
2019-01-08,103.040001,103.970001,101.709999,102.800003,100.745613,31514400,MSFT
2019-01-09,103.860001,104.879997,103.239998,104.269997,102.186226,32280800,MSFT
2019-01-10,103.220001,103.750000,102.379997,103.599998,101.529633,30067600,MSFT
2019-01-11,103.190002,103.440002,101.639999,102.800003,100.745613,28314200,MSFT
2019-01-14,101.900002,102.870003,101.260002,102.050003,100.010605,28437100,MSFT
2019-01-15,102.510002,105.050003,101.879997,105.010002,102.911453,31587600,MSFT
2019-01-16,105.260002,106.260002,104.959999,105.379997,103.274055,29853900,MSFT
2019-01-17,105.000000,106.629997,104.760002,106.120003,103.999275,28393000,MSFT
2019-01-18,107.459999,107.900002,105.910004,107.709999,105.557495,37427600,MSFT
2019-01-22,106.750000,107.099998,104.860001,105.680000,103.568062,32371300,MSFT
2019-01-23,106.120003,107.040001,105.339996,106.709999,104.577469,25874300,MSFT
2019-01-24,106.860001,107.000000,105.339996,106.199997,104.077667,23164800,MSFT
2019-01-25,107.239998,107.879997,106.199997,107.169998,105.028282,31225600,MSFT
2019-01-28,106.260002,106.480003,104.660004,105.080002,102.980049,29476700,MSFT
2019-01-29,104.879997,104.970001,102.169998,102.940002,100.882828,31490500,MSFT
2019-01-30,104.620003,106.379997,104.330002,106.379997,104.254074,49471900,MSFT
2019-01-31,103.800003,105.220001,103.180000,104.430000,102.343040,55636400,MSFT
2019-02-01,103.779999,104.099998,102.349998,102.779999,100.726013,35535700,MSFT
2019-02-04,102.870003,105.800003,102.769997,105.739998,103.626854,31315100,MSFT
2019-02-05,106.059998,107.269997,105.959999,107.220001,105.077286,27325400,MSFT
2019-02-06,107.000000,107.000000,105.529999,106.029999,103.911064,20609800,MSFT
2019-02-07,105.190002,105.589996,104.290001,105.269997,103.166252,29760700,MSFT
2019-02-08,104.389999,105.779999,104.260002,105.669998,103.558266,21461100,MSFT
2019-02-11,106.199997,106.580002,104.970001,105.250000,103.146645,18914100,MSFT
2019-02-12,106.139999,107.139999,105.480003,106.889999,104.753891,25056600,MSFT
2019-02-13,107.500000,107.779999,106.709999,106.809998,104.675476,18394900,MSFT
2019-02-14,106.309998,107.290001,105.660004,106.900002,104.763680,21784700,MSFT
2019-02-15,107.910004,108.300003,107.360001,108.220001,106.057297,26606900,MSFT
2019-02-19,107.790001,108.660004,107.779999,108.169998,106.008301,18038500,MSFT
2019-02-20,107.860001,107.940002,106.290001,107.150002,105.457146,21607700,MSFT
