Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-01-02,154.889999,158.850006,154.229996,157.919998,154.794983,37039700,AAPL
2019-01-03,143.979996,145.720001,142.000000,142.190002,139.376251,91312200,AAPL
2019-01-04,144.529999,148.550003,143.800003,148.259995,145.326126,58607100,AAPL
2019-01-07,148.699997,148.830002,145.899994,147.929993,145.002686,54777800,AAPL
2019-01-08,149.559998,151.820007,148.520004,150.750000,147.766861,41025300,AAPL
2019-01-09,151.289993,154.529999,149.630005,153.309998,150.276199,45099100,AAPL
2019-01-10,152.500000,153.970001,150.860001,153.800003,150.756531,35780700,AAPL
2019-01-11,152.880005,153.699997,151.509995,152.289993,149.276382,27023200,AAPL
2019-01-14,150.850006,151.270004,149.220001,150.000000,147.031708,32439200,AAPL
2019-01-15,150.270004,153.389999,150.050003,153.070007,150.040970,28710900,AAPL
2019-01-16,153.080002,155.880005,153.000000,154.940002,151.873962,30569700,AAPL
2019-01-17,154.199997,157.660004,153.259995,155.860001,152.775742,29821200,AAPL
2019-01-18,157.500000,157.880005,155.979996,156.820007,153.716751,33751000,AAPL
2019-01-22,156.410004,156.729996,152.619995,153.300003,150.266403,30394000,AAPL
2019-01-23,154.149994,155.139999,151.699997,153.919998,150.874130,23130600,AAPL
2019-01-24,154.110001,154.479996,151.740005,152.699997,149.678253,25441500,AAPL
2019-01-25,155.479996,158.130005,154.320007,157.759995,154.638153,33535500,AAPL
2019-01-28,155.789993,156.330002,153.660004,156.300003,153.207047,26192100,AAPL
2019-01-29,156.250000,158.130005,154.110001,154.679993,151.619080,41587200,AAPL
2019-01-30,163.250000,166.149994,160.229996,165.250000,161.979935,61109800,AAPL
2019-01-31,166.110001,169.000000,164.559998,166.440002,163.146362,40739600,AAPL
2019-02-01,166.960007,168.979996,165.929993,166.520004,163.224792,32668100,AAPL
2019-02-04,167.410004,171.660004,167.279999,171.250000,167.861191,31495500,AAPL
2019-02-05,172.860001,175.080002,172.350006,174.179993,170.733215,36101600,AAPL
2019-02-06,174.649994,175.570007,172.850006,174.240005,170.792038,28239600,AAPL
2019-02-07,172.399994,173.940002,170.339996,170.940002,167.557327,31741700,AAPL
2019-02-08,168.990005,170.660004,168.419998,170.410004,167.754227,23820000,AAPL
2019-02-11,171.050003,171.210007,169.250000,169.429993,166.789474,20993400,AAPL
2019-02-12,170.100006,171.000000,169.699997,170.889999,168.226730,22283500,AAPL
2019-02-13,171.389999,172.479996,169.919998,170.179993,167.527786,22490200,AAPL
2019-02-14,169.710007,171.259995,169.380005,170.800003,168.138153,21835700,AAPL
2019-02-15,171.250000,171.699997,169.750000,170.419998,167.764069,24626800,AAPL
2019-02-19,169.710007,171.440002,169.490005,170.929993,168.266098,18972800,AAPL
2019-02-20,171.190002,173.320007,170.990005,172.029999,169.348969,26114400,AAPL
2019-02-21,171.800003,172.369995,170.300003,171.059998,168.394089,17249700,AAPL
2019-02-22,171.580002,173.000000,171.380005,172.970001,170.274307,18913200,AAPL
2019-02-25,174.160004,175.869995,173.949997,174.229996,171.514664,21873400,AAPL
2019-02-26,173.710007,175.300003,173.169998,174.330002,171.613113,17070200,AAPL
2019-02-27,173.210007,175.000000,172.729996,174.869995,172.144699,27835400,AAPL
